Date;Time; Temperatura  -  Méd  (C) ; Umidade  -  Méd  (%) ; Pressão  -  Méd  (hpa) ; Velocidade  do  vento  -  Méd  (kmh) ; Rajada  de  vento  -  Méd  (kmh) ; Direção  do  vento  -  Tudo  (°) ; Ponto  de  orvalho  -  Méd  (C) ; Temperatura  aparente  -  Méd  (C) ; Taxa  de  precipitação  -  Méd  (mm/h) ; Precipitation  -  Total  (mm) ; Radiação  solar  -  Méd  (W/m2) ; Temperatura  -  Máx  (C) ; Umidade  -  Máx  (%) ; Pressão  -  Máx  (hpa) ; Velocidade  do  vento  -  Máx  (kmh) ; Rajada  de  vento  -  Máx  (kmh) ; Ponto  de  orvalho  -  Máx  (C) ; Temperatura  aparente  -  Máx  (C) ; Taxa  de  precipitação  -  Máx  (mm/h) ; Radiação  solar  -  Máx  (W/m2) ; Temperatura  -  Mín  (C) ; Umidade  -  Mín  (%) ; Pressão  -  Mín  (hpa) ; Velocidade  do  vento  -  Mín  (kmh) ; Rajada  de  vento  -  Mín  (kmh) ; Ponto  de  orvalho  -  Mín  (C) ; Temperatura  aparente  -  Mín  (C) ; Taxa  de  precipitação  -  Mín  (mm/h) ; Radiação  solar  -  Mín  (W/m2) ; Temperatura  -  Variação  (C) ; Umidade  -  Variação  (%) ; Pressão  -  Variação  (hpa) ; Velocidade  do  vento  -  Variação  (kmh) ; Rajada  de  vento  -  Variação  (kmh) ; Ponto  de  orvalho  -  Variação  (C) ; Temperatura  aparente  -  Variação  (C) ; Taxa  de  precipitação  -  Variação  (mm/h) ; Radiação  solar  -  Variação  (W/m2) 
14/02/20;    ;22.85;77.23;1012.63;1.45;2.14;124;18.28;25.51;0.00;0.00;266.98;30.30;94.00;1014.90;6.40;12.90;21.20;32.80;0.00;1417.00;16.80;49.00;1010.20;0.00;0.00;15.60;18.30;0.00;0.00;13.50;45.00;4.70;6.40;12.90;5.60;14.50;0.00;1417.00
15/02/20;    ;24.09;75.52;1011.49;1.25;2.06;129;19.04;27.10;0.00;0.00;267.72;31.30;94.00;1013.60;4.80;14.50;21.60;33.50;0.00;1162.00;18.30;42.00;1009.10;0.00;0.00;16.90;20.80;0.00;0.00;13.00;52.00;4.50;4.80;14.50;4.70;12.70;0.00;1162.00
16/02/20;    ;23.24;83.44;1011.35;0.89;1.53;87;20.16;26.87;0.00;0.00;167.89;28.70;93.00;1013.20;8.00;9.70;22.70;32.90;0.00;1194.00;18.90;66.00;1009.50;0.00;0.00;17.60;21.50;0.00;0.00;9.80;27.00;3.70;8.00;9.70;5.10;11.40;0.00;1194.00
17/02/20;    ;24.99;75.10;1011.46;1.86;2.54;137;19.82;28.24;0.00;0.00;257.82;31.20;95.00;1013.20;8.00;9.70;21.40;35.00;0.00;1174.00;19.60;53.00;1008.50;0.00;0.00;18.60;22.70;0.00;0.00;11.60;42.00;4.70;8.00;9.70;2.80;12.30;0.00;1174.00
18/02/20;    ;24.40;77.02;1011.97;1.75;2.57;83;19.95;27.76;0.00;0.00;241.31;30.30;90.00;1013.60;8.00;16.10;22.30;34.20;0.00;1136.00;20.20;58.00;1009.10;0.00;0.00;17.50;23.10;0.00;0.00;10.10;32.00;4.50;8.00;16.10;4.80;11.10;0.00;1136.00
19/02/20;    ;23.60;81.13;1009.96;1.26;2.05;106;19.79;26.97;0.25;3.80;180.12;31.40;94.00;1012.20;11.30;16.10;21.70;35.10;21.60;1118.00;19.30;51.00;1006.10;0.00;0.00;18.10;22.20;0.00;0.00;12.10;43.00;6.10;11.30;16.10;3.60;12.90;21.60;1118.00
20/02/20;    ;24.11;82.16;1009.77;1.45;2.19;111;20.72;27.89;0.00;0.00;217.71;29.70;94.00;1011.50;9.70;14.50;22.50;34.20;0.00;1190.00;20.80;62.00;1006.80;0.00;0.00;19.50;24.30;0.00;0.00;8.90;32.00;4.70;9.70;14.50;3.00;9.90;0.00;1190.00
21/02/20;    ;22.22;88.93;1010.60;0.35;0.74;153;20.24;25.97;1.53;22.40;102.21;26.50;95.00;1012.90;6.40;11.30;21.40;30.40;118.10;944.00;20.20;70.00;1008.80;0.00;0.00;19.10;23.50;0.00;0.00;6.30;25.00;4.10;6.40;11.30;2.30;6.90;118.10;944.00
22/02/20;    ;22.37;81.51;1012.13;1.96;2.87;144;18.87;25.19;0.00;0.50;182.31;27.70;95.00;1015.20;6.40;14.50;21.90;31.30;0.00;1299.00;19.30;63.00;1009.80;0.00;0.00;15.90;20.90;0.00;0.00;8.40;32.00;5.40;6.40;14.50;6.00;10.40;0.00;1299.00
23/02/20;    ;21.46;78.72;1014.48;1.91;2.83;154;17.42;23.67;0.44;7.60;227.22;27.90;92.00;1015.90;6.40;11.30;20.30;31.00;18.30;1215.00;16.50;62.00;1011.90;0.00;0.00;15.00;18.10;0.00;0.00;11.40;30.00;4.00;6.40;11.30;5.30;12.90;18.30;1215.00
24/02/20;    ;20.44;90.07;1014.13;0.08;0.36;114;18.73;23.55;0.15;3.30;72.39;23.10;95.00;1015.60;1.60;4.80;20.20;26.70;14.20;497.00;17.80;80.00;1012.50;0.00;0.00;16.50;20.00;0.00;0.00;5.30;15.00;3.10;1.60;4.80;3.70;6.70;14.20;497.00
25/02/20;    ;23.70;83.80;1011.77;0.90;1.32;95;20.60;27.52;0.04;1.30;180.46;29.40;95.00;1014.60;6.40;9.70;22.60;33.00;2.00;1276.00;19.60;58.00;1008.10;0.00;0.00;18.80;22.70;0.00;0.00;9.80;37.00;6.50;6.40;9.70;3.80;10.30;2.00;1276.00
26/02/20;    ;22.58;90.98;1008.77;0.76;1.30;95;21.01;26.63;1.03;20.60;81.34;25.30;95.00;1010.80;6.40;12.90;22.50;29.60;55.10;476.00;20.60;80.00;1006.10;0.00;0.00;19.50;24.20;0.00;0.00;4.70;15.00;4.70;6.40;12.90;3.00;5.40;55.10;476.00
